playerName,total_goals,matches,latest_match,home_goals,away_goals,own_goals,penalty_goals
Josef Gauchel,3,2,1938-06-04,3,0,0,0
Vaclavs Borduško,2,1,1937-09-03,0,2,0,0
Aavo Sillandi,1,1,1937-09-05,0,1,0,0
Jānis Rozītis,1,1,1937-09-07,0,1,0,0
Camillo Jerusalem,1,1,1937-10-05,1,0,0,0
Franz Binder,1,1,1937-10-05,1,0,0,0
Reidar Kvammen,4,2,1937-11-07,2,2,0,0
Matty Geoghegan,1,1,1937-10-10,0,1,0,0
Jimmy Dunne,2,2,1937-11-07,1,1,0,0
Alf Martinsen,2,2,1937-11-07,1,1,0,0
Leonard Piątek,2,1,1937-10-10,2,0,0,0
Jerzy Wostal,1,1,1937-10-10,1,0,0,0
Ernst Wilimowski,5,2,1938-06-05,1,4,0,0
Jan Ríha,1,1,1937-11-07,0,1,0,0
Georgi Panchediev,1,1,1937-11-07,1,0,0,1
Kevin O'Flanagan,1,1,1937-11-07,1,0,0,0
Harry Duggan,1,1,1937-11-07,1,0,0,0
Fritz Szepan,1,1,1937-11-21,1,0,0,0
Helmut Schön,2,1,1937-11-21,2,0,0,0
Piet de Boer,3,1,1937-11-28,3,0,0,0
Kleanthis Vikelidis,3,2,1938-02-20,1,2,0,1
Peri Neufeld,1,1,1938-01-22,1,0,0,0
Antonis Migiakis,1,1,1938-01-22,0,1,0,0
Camille Libar,1,1,1938-03-13,1,0,0,0
Gustave Kemp,1,1,1938-03-13,1,0,0,0
François de Vries,1,1,1938-03-13,0,1,0,0
Gyula Zsengellér,10,4,1938-06-16,10,0,0,1
Pál Titkos,4,3,1938-06-19,4,0,0,0
József Nemes,3,1,1938-03-25,3,0,0,0
Lefteris Makris,1,1,1938-03-25,0,1,0,0
Henk van Spaandonck,1,1,1938-04-03,0,1,0,0
Hendrik Isemborghs,2,2,1938-06-05,1,1,0,0
Ladislav Šimůnek,3,1,1938-04-24,3,0,0,0
Josef Ludl,1,1,1938-04-24,1,0,0,0
Georges Aeby,1,1,1938-05-01,1,0,0,0
Lauro Amado,1,1,1938-05-01,1,0,0,0
Fernando Peyroteo,1,1,1938-05-01,0,1,0,1
Leônidas da Silva,7,4,1938-06-19,7,0,0,0
Friedrich Scherfke,1,1,1938-06-05,0,1,0,1
Romeu Pellicciari,3,3,1938-06-19,3,0,0,0
José Perácio,3,2,1938-06-19,3,0,0,0
Silviu Bindea,1,1,1938-06-05,0,1,0,0
José Magriñá,1,1,1938-06-05,1,0,0,0
Iuliu Barátky,1,1,1938-06-05,0,1,0,0
Josef Košťálek,1,1,1938-06-05,1,0,0,0
Josef Zeman,1,1,1938-06-05,1,0,0,0
Émile Veinante,1,1,1938-06-05,1,0,0,0
Vilmos Kohut,1,1,1938-06-05,1,0,0,0
Pietro Ferraris,1,1,1938-06-05,1,0,0,0
Arne Brustad,1,1,1938-06-05,0,1,0,0
Silvio Piola,5,3,1938-06-19,1,4,0,0
Tomás Fernández,1,1,1938-06-09,1,0,0,0
Wilhelm Hahnemann,1,1,1938-06-09,1,0,0,0
Ernst Lörtscher,1,1,1938-06-09,1,0,1,0
Eugen Walaschek,1,1,1938-06-09,0,1,0,0
Alfred Bickel,1,1,1938-06-09,0,1,0,0
Harry Andersson,3,1,1938-06-12,0,3,0,0
Arne Nyberg,3,3,1938-06-19,0,3,0,0
Gino Colaussi,4,3,1938-06-19,0,4,0,0
Oscar Heisserer,1,1,1938-06-12,1,0,0,0
Vlastimil Kopecký,1,1,1938-06-14,0,1,0,0
Sven Jacobsson,1,1,1938-06-16,1,0,1,0
Ralf Veidemann,2,1,1938-09-03,2,0,0,0
Kazys Šurkus,1,1,1938-09-03,0,1,0,0
Francis Krupšs,1,1,1938-09-04,1,0,0,0
